Description,Total Cost,GL Account
Payroll Liab - Net Wages Clrng,,2350
Payroll Liab - PAYG W/holding,,2360
Payroll Liab - Superannuation,,2390
Payroll Liab - Super Salary Sacrifice,,2391
Payroll Liab - Leasing,,2325
Payroll Liab - Employee Deduct,,4880
Payroll Liab - Child Suppo,,2351
Payroll Liab - Union Deduc,,2351
Payroll Liab - Social Club,,2351
Payroll Liab - Visa Repayments,,1067
Labour - Salaries,Y,6345
Payroll Liab - AL Provision,Y,2310
Labour - Allowances,Y,6312
Labour - Sick Compassionate Lv,Y,6355
Labour - Superannuation,Y,6370
Payroll Liab - LSL > 7 Years,Y,2330
Payroll Liab - Paid Parent,Y,2321
Payroll Liab - TIL Provision,Y,2317
Labour - Training & Education,Y,6375
Payroll Liab - Workcover Claim,Y,2320
Payroll Liab - PHIL Provision,Y,6372
