pay_comp_code,pay_comp_desc,transaction_type,prt_category,gl_account,gl_name
Normal,Normal Pay,Hours By Rate,Gross salary and wages,6345,Labour - Salaries
22T,TSV Mon-Frid 7pm - Mid,Non Standard Add Before,Gross salary and wages,6345,Labour - Salaries
E1020025,Saturday Loading - 25%,Non Standard Add Before,Gross salary and wages,6345,Labour - Salaries
E1020050b,Sunday Loading - 50%,Non Standard Add Before,Gross salary and wages,6345,Labour - Salaries
TCAS,TSV Casual Loading 25%,Non Standard Add Before,Gross salary and wages,6345,Labour - Salaries
26T,TSV Mon-Friday Mid - 7 am,Non Standard Add Before,Gross salary and wages,6345,Labour - Salaries
OLPen,,Non Standard Add Before,Gross salary and wages,6345,Labour - Salaries
E1020050,Saturday Loading - 50%,Non Standard Add Before,Gross salary and wages,6345,Labour - Salaries
E1020075,Sunday Loading - 75%,Non Standard Add Before,Gross salary and wages,6345,Labour - Salaries
Double,Double Time Pay,Hours By Rate,Gross salary and wages,6345,Labour - Salaries
call1.5,Call out  150%,Non Standard Add Before,Gross salary and wages,6345,Labour - Salaries
call2.0,Call out  200%,Non Standard Add Before,Gross salary and wages,6345,Labour - Salaries
TPoJun83,Term ETP - Taxable (Post June 83),Term ETP - Taxable (Code: O),Gross salary and wages,6345,Labour - Salaries
Time/Half,Time and a Half Pay,Hours By Rate,Gross salary and wages,6345,Labour - Salaries
E1020050c,Missed Meal Break - 50%,Non Standard Add Before,Gross salary and wages,6345,Labour - Salaries
ALC,Annual Leave Cash out,Non Standard Add Before,Gross salary and wages,6345,Labour - Salaries
Penalty,Penalty Pay,Hours By Rate,Gross salary and wages,6345,Labour - Salaries
E3000100,Overtime 100%,Non Standard Add Before,Gross salary and wages,6345,Labour - Salaries
E3000050a,Overtime 50%,Non Standard Add Before,Gross salary and wages,6345,Labour - Salaries
BP,Backpay Amount,Non Standard Add Before,Gross salary and wages,6345,Labour - Salaries
Annual,Annual Leave,Annual Leave,Gross salary and wages,2310,Payroll Liab - Annual Leave
LLV,Leave Loading,Non Standard Add Before,Gross salary and wages,2310,Payroll Liab - Annual Leave
TPo93ALG,Term AL Gross,Term Post 93 AL Gross,Gross salary and wages,2310,Payroll Liab - Annual Leave
TPo93LLG,Term LL Gross,Term Post 93 LL Gross,Gross salary and wages,2310,Payroll Liab - Annual Leave
E3500,Nauseous allowance,Non Standard Add Before,Allowances,6312,Labour - Allowances
Tool A,Tool Allowance (1 - 4 Shift) HIGA,Non Standard Add Before,Allowances,6312,Labour - Allowances
E2080b,First Aid Allowance FT SM,Non Standard Add Before,Allowances,6312,Labour - Allowances
E2080c,First Aid Allowance PT/Cas SO,Non Standard Add Before,Allowances,6312,Labour - Allowances
E2080d,First Aid Allowance PT/Cas SM,Non Standard Add Before,Allowances,6312,Labour - Allowances
E2031,HD Surv Shift Mgr - Salary,Non Standard Add Before,Gross salary and wages,6312,Labour - Allowances
E2255a,Broken Shift allowance - 3+hrs,Non Standard Add Before,Gross salary and wages,6312,Labour - Allowances
Sick,Sick Leave,Sick Leave,Gross salary and wages,6355,Labour - Sick Leave
Other,Other Leave,Other Leave,Gross salary and wages,6355,Labour - Sick Leave
Super,Superannuation,Super,Employer superannuation contributions,6370,Labour - Superannuation
LSL,Long Service Leave,Long Service Leave,Gross salary and wages,2330,Payroll Liab - Long Service Leave
NetPay,Net Pay,Net Pay,,2350,Payroll Liab - Net Wages
Tax,Tax,Tax,,2360,Payroll Liab - PAYG Withholding
DA12,Sal Sac SunSuper,Standard Ded Before,,2391,Payroll Liab - Super Sal Sacrifice
HSS,Host Plus Salary Sacrifice,Standard Ded Before,,2391,Payroll Liab - Super Sal Sacrifice
SSMyNorth,Sal Sac MyNorth Super,Standard Ded Before,,2391,Payroll Liab - Super Sal Sacrifice
AUSS,Australian Superannuation Fund Salary Sacrifice,Standard Ded Before,,2391,Payroll Liab - Super Sal Sacrifice
ColSS,Colonial First State WPS Salary Sacrifice,Standard Ded Before,,2391,Payroll Liab - Super Sal Sacrifice
SSMLC,Sal Sac MLC,Standard Ded Before,,2391,Payroll Liab - Super Sal Sacrifice
SSPrime,Sal Sac Prime Super,Standard Ded Before,,2391,Payroll Liab - Super Sal Sacrifice
SSUni,Sal Sac Uni Super,Standard Ded Before,,2391,Payroll Liab - Super Sal Sacrifice
DA20,SunSuper Post Tax,Standard Ded After,,2391,Payroll Liab - Super Sal Sacrifice
REMMVAT,Remunerator MV After Tax Deduction,Standard Ded After,,2325,Payroll Liabilities - Leasing
RemMVPT,Remunerator MV Pre-Tax Deductions,Standard Ded Before,,2325,Payroll Liabilities - Leasing
Rent,Private Rental Agreement,Standard Ded After,,4880,Revenue - Rental
Child,Child Support Deductions,Standard Ded After,,2351,Payroll Liab - Other Deductions
SPER,SPER Deduction Order,Standard Ded After,,2351,Payroll Liab - Other Deductions
PP,Gov Paid Parental Leave,Non Standard Add Before,Gross salary and wages,2321,Payroll Liab - Paid Parental
TRN,Training Hrs,Non Standard Add Before,Gross salary and wages,6375,Labour - Training & Education
TSVUnion,TSV Union deductions  PT,Standard Ded After,,2351,Payroll Liab - Other Deductions
TSVUnionFT,TSV Union deductions  FT,Standard Ded After,,2351,Payroll Liab - Other Deductions
TSVUnionJr,TSV Union deductions  Junior,Standard Ded After,,2351,Payroll Liab - Other Deductions
TSVSC,TSV Social Club,Standard Ded After,,2351,Payroll Liab - Other Deductions
WCNS,Workcover Hours - No Super,Non Standard Add Before,Workcover,2320,Payroll Liab - WorkCover
WCS,Workcover Hours - Super,Non Standard Add Before,Workcover,2320,Payroll Liab - WorkCover
VAR,Visa Assistance Repayment,Standard Ded After,,1067,Debtors - POS
UDLeave,User Defined Leave,User Defined Leave,Gross salary and wages,6372,Labour - Time in Lieu
HECS,HELP/HECS Value,STSL,,,
6,Extra Tax,Standard Tax Adj,,2360,Payroll Liab - PAYG Withholding
66,New Tax %,Standard Tax Adj,,2360,Payroll Liab - PAYG Withholding
TPo93LSLG,,,,2330,Payroll Liab - Long Service Leave
E2255,Broken Shift allowance - 2-3hrs,Non Standard Add Before,Gross salary and wages,6312,Labour - Allowances
WCE,Workcover Excess - Super,Non Standard Add Before,Workcover,,
Overpaymen,,,,,
Bonus,Bonus,Non Standard Add Before,Bonuses,6305,Labour - Bonuses
JuryRe,Jury Duty Repayment,Non Standard Ded After,,,
E1203125,Public Holiday 125%,Non Standard Add Before,Gross salary and wages,6305,Labour - Bonuses
PHTILBank,Public Holday Time in Lieu Bank Hours,Non Standard Add Before,Gross salary and wages,6305,Labour - Bonuses
E1203150,Public Holiday 150%,Non Standard Add Before,Gross salary and wages,6305,Labour - Bonuses
E1203250,Public Holiday 250%,Non Standard Add Before,Gross salary and wages,6305,Labour - Bonuses
